player_id,name,age,goals,assists,yellow_cards,red_cards,role,market_value
10,Miroslav Klose,48,48.0,25.0,19.0,1.0,attacker,6800000.0
26,Roman Weidenfeller,46,1.0,1.0,4.0,2.0,goalkeeper,2200000.0
65,Dimitar Berbatov,45,38.0,13.0,11.0,1.0,attacker,7700000.0
77,Lúcio,48,3.0,2.0,9.0,1.0,defender,5060000.0
80,Tom Starke,45,1.0,1.0,3.0,1.0,goalkeeper,680000.0
109,Dedê,48,1.0,2.0,4.0,1.0,defender,2220000.0
123,Christoph Metzelder,45,3.0,1.0,9.0,1.0,defender,3100000.0
132,Tomas Rosicky,46,9.0,4.0,13.0,1.0,midfielder,3780000.0
162,Marc Ziegler,50,1.0,1.0,3.0,1.0,goalkeeper,410000.0
215,Roque Santa Cruz,45,26.0,8.0,3.0,1.0,attacker,2600000.0
258,Gerald Asamoah,48,8.0,2.0,2.0,1.0,attacker,1480000.0
264,Tamás Hajnal,45,2.0,3.0,1.0,1.0,midfielder,1380000.0
276,Sladan Peric,44,3.0,2.0,9.0,1.0,defender,260000.0
277,Sérgio da Silva Pinto,46,5.0,4.0,15.0,1.0,midfielder,820000.0
325,Tomas Ujfalusi,48,3.0,2.0,9.0,1.0,defender,2640000.0
332,Benjamin Köhler,46,3.0,4.0,4.0,1.0,midfielder,620000.0
410,Sebastian Kehl,46,3.0,6.0,11.0,1.0,midfielder,2600000.0
411,Levan Kobiashvili,49,1.0,4.0,2.0,1.0,midfielder,1820000.0
447,Oka Nikolov,52,1.0,1.0,3.0,1.0,goalkeeper,680000.0
488,Gerhard Tremmel,47,1.0,1.0,2.0,1.0,goalkeeper,640000.0
532,Claudio Pizarro,48,53.0,24.0,6.0,1.0,attacker,2720000.0
557,Simon Jentzsch,50,1.0,1.0,3.0,1.0,goalkeeper,1140000.0
568,Martin Stranzl,46,8.0,2.0,18.0,1.0,defender,1700000.0
597,Aleksandr Hleb,45,4.0,13.0,4.0,1.0,midfielder,3920000.0
598,Timo Hildebrand,47,1.0,1.0,1.0,1.0,goalkeeper,2600000.0
643,Christian Vander,46,1.0,1.0,3.0,1.0,goalkeeper,200000.0
670,Martin Petrov,47,6.0,2.0,5.0,1.0,attacker,2720000.0
690,Ivan Klasnic,46,1.0,4.0,5.0,1.0,attacker,2800000.0
691,Simon Rolfes,44,12.0,8.0,10.0,1.0,midfielder,3500000.0
735,Giuseppe Gemiti,45,3.0,1.0,1.0,1.0,defender,310000.0
755,Deniz Baris,49,1.0,2.0,6.0,1.0,defender,640000.0
773,David Jarolim,47,5.0,5.0,8.0,1.0,midfielder,1900000.0
823,Hanno Balitsch,45,1.0,2.0,9.0,1.0,midfielder,960000.0
831,Selim Teber,45,5.0,5.0,1.0,1.0,midfielder,640000.0
886,Jens Langeneke,49,2.0,2.0,5.0,1.0,defender,240000.0
892,Heinz Müller,48,1.0,1.0,1.0,1.0,goalkeeper,610000.0
933,Ugur Inceman,45,6.0,7.0,27.0,1.0,midfielder,640000.0
992,Christian Weber,43,3.0,5.0,9.0,1.0,defender,340000.0
1073,Manuel Friedrich,47,3.0,2.0,5.0,1.0,defender,1500000.0
1075,Andriy Voronin,47,7.0,3.0,2.0,1.0,attacker,2000000.0
1083,Julian de Guzmán,45,1.0,2.0,8.0,1.0,midfielder,1200000.0
1094,Emanuel Pogatetz,43,1.0,2.0,12.0,1.0,defender,1360000.0
1095,Peer Kluge,45,3.0,1.0,10.0,1.0,midfielder,900000.0
1116,Thomas Kleine,48,3.0,2.0,6.0,1.0,defender,600000.0
1122,Sven Neuhaus,48,1.0,1.0,3.0,1.0,goalkeeper,340000.0
1126,Matthias Lehmann,43,6.0,6.0,32.0,1.0,midfielder,700000.0
1139,Nikolce Noveski,47,2.0,1.0,15.0,1.0,defender,1000000.0
1144,Christofer Heimeroth,45,1.0,1.0,3.0,1.0,goalkeeper,340000.0
1150,Raphael Schäfer,47,1.0,1.0,4.0,1.0,goalkeeper,1160000.0
1161,Javier Zanetti,53,3.0,1.0,1.0,1.0,defender,3000000.0
